popularityScore,productType,SKU,,eagleSticksPerBundle, eagleBundlesPerTruckLoad, eagleSticksPerTruckload, length,calculatedSticksPerBundle
,, SCH 40 PVC NSF (Pools & Irrigation),,,,,,
5,SCH 40 PVC NSF (Pools & Irrigation),"1/2"" PVC PIPE  SCH 40",BELL ENDED,360,36,12960,20',360
5,SCH 40 PVC NSF (Pools & Irrigation),"3/4"" PVC PIPE  SCH 40",BELL ENDED,400,24,9600,20',400
5,SCH 40 PVC NSF (Pools & Irrigation),"1"" PVC PIPE  SCH 40",BELL ENDED,280,20,5600,20',280
8,SCH 40 PVC NSF (Pools & Irrigation),"1 1/4"" PVC PIPE  SCH 40",BELL ENDED,220,24,5280,20',220
2,SCH 40 PVC NSF (Pools & Irrigation),"1 1/2"" PVC PIPE  SCH 40",BELL ENDED,180,24,4320,20',180
1,SCH 40 PVC NSF (Pools & Irrigation),"2"" PVC PIPE  SCH 40",BELL ENDED,105,24,2520,20',105
2,SCH 40 PVC NSF (Pools & Irrigation),"2 1/2"" PVC PIPE  SCH 40",BELL ENDED,73,24,1752,20',73
3,SCH 40 PVC NSF (Pools & Irrigation),"3"" PVC PIPE  SCH 40",BELL ENDED,75,16,1200,20',75
4,SCH 40 PVC NSF (Pools & Irrigation),"4"" PVC PIPE  SCH 40",BELL ENDED,57,12,684,20',57
6,SCH 40 PVC NSF (Pools & Irrigation),"6"" PVC PIPE  SCH 40",BELL ENDED,26,12,312,20',26
6,SCH 40 PVC NSF (Pools & Irrigation),"8"" PVC PIPE  SCH 40",BELL ENDED,15,12,180,20',15
6,SCH 40 PVC NSF (Pools & Irrigation),"10"" PVC PIPE  SCH 40",BELL ENDED,12,12,144,20',12
6,SCH 40 PVC NSF (Pools & Irrigation),"12"" PVC PIPE  SCH 40",BELL ENDED, 6 / 8, 6 / 6,84,20',6
,, SCH 80 PVC (No NSF) Gray Pipe,,,,,,
7,SCH 80 PVC (No NSF) Gray Pipe,"1/2"" PVC PIPE  SCH 80",PLAIN ENDED,360,36,12960,20',360
7,SCH 80 PVC (No NSF) Gray Pipe,"3/4"" PVC PIPE  SCH 80",PLAIN ENDED,400,24,9600,20',400
7,SCH 80 PVC (No NSF) Gray Pipe,"1"" PVC PIPE  SCH 80",PLAIN ENDED,280,20,5600,20',280
7,SCH 80 PVC (No NSF) Gray Pipe,"1 1/4"" PVC PIPE  SCH 80",PLAIN ENDED,220,24,5280,20',220
7,SCH 80 PVC (No NSF) Gray Pipe,"1 1/2"" PVC PIPE  SCH 80",PLAIN ENDED,180,24,4320,20',180
7,SCH 80 PVC (No NSF) Gray Pipe,"2"" PVC PIPE  SCH 80",PLAIN ENDED,105,24,2520,20',105
7,SCH 80 PVC (No NSF) Gray Pipe,"2 1/2"" PVC PIPE  SCH 80",PLAIN ENDED,73,24,1752,20',73
7,SCH 80 PVC (No NSF) Gray Pipe,"3"" PVC PIPE  SCH 80",PLAIN ENDED,75,16,1200,20',75
7,SCH 80 PVC (No NSF) Gray Pipe,"4"" PVC PIPE  SCH 80",PLAIN ENDED,57,12,684,20',57
7,SCH 80 PVC (No NSF) Gray Pipe,"6"" PVC PIPE  SCH 80",PLAIN ENDED,26,12,312,20',26
7,SCH 80 PVC (No NSF) Gray Pipe,"8"" PVC PIPE  SCH 80",PLAIN ENDED,15,12,180,20',15
,, SDR 26 CL160 (Irrigation) Thin Wall (NSF),,,,,,
4,SDR 26 CL160 (Irrigation) Thin Wall (NSF),"1/2"" SDR13.5 PVC PIPE  IPS ",BELL ENDED,360,36,12960,20',360
4,SDR 26 CL160 (Irrigation) Thin Wall (NSF),"3/4"" SDR26 PVC PIPE  IPS ",BELL ENDED,400,24,9600,20',400
4,SDR 26 CL160 (Irrigation) Thin Wall (NSF),"1"" SDR26 PVC PIPE  IPS ",BELL ENDED,280,20,5600,20',280
4,SDR 26 CL160 (Irrigation) Thin Wall (NSF),"1 1/4"" SDR26 PVC PIPE  IPS ",BELL ENDED,220,24,5280,20',220
7,SDR 26 CL160 (Irrigation) Thin Wall (NSF),"1 1/2"" SDR26 PVC PIPE  IPS ",GASKETED,270,16,4320,20',270
7,SDR 26 CL160 (Irrigation) Thin Wall (NSF),"2"" SDR26 PVC PIPE  IPS ",GASKETED,185,16,2960,20',185
7,SDR 26 CL160 (Irrigation) Thin Wall (NSF),"2 1/2"" SDR26 PVC PIPE  IPS ",GASKETED,73,28,2044,20',73
7,SDR 26 CL160 (Irrigation) Thin Wall (NSF),"3"" SDR26 PVC PIPE  IPS ",GASKETED,75,16,1200,20',75
7,SDR 26 CL160 (Irrigation) Thin Wall (NSF),"4"" SDR26 PVC PIPE  IPS ",GASKETED,76,12,912,20',76
7,SDR 26 CL160 (Irrigation) Thin Wall (NSF),"6"" SDR26 PVC PIPE  IPS ",GASKETED, 28 / 35, 4 / 8,392,20',28
7,SDR 26 CL160 (Irrigation) Thin Wall (NSF),"8"" SDR26 PVC PIPE  IPS ",GASKETED, 25 / 30, 4 / 4,220,20',25
7,SDR 26 CL160 (Irrigation) Thin Wall (NSF),"10"" SDR26 PVC PIPE  IPS ",GASKETED, 16 / 20, 4 / 4,144,20',16
7,SDR 26 CL160 (Irrigation) Thin Wall (NSF),"12"" SDR26 PVC PIPE  IPS ",GASKETED, 9 / 12 / 12 / 16, 2 / 2 / 2 / 2,98,20',12
,, SDR 21 CL200 (Irrigation) Thin Wall (NSF),,,,,,
4,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"3/4"" SDR21 PVC PIPE  IPS ",BELL ENDED,400,24,9600,20',400
4,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"1"" SDR21 PVC PIPE  IPS ",BELL ENDED,280,20,5600,20',280
4,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"1 1/4"" SDR21 PVC PIPE  IPS ",BELL ENDED,220,24,5280,20',220
7,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"1 1/2"" SDR21 PVC PIPE  IPS ",GASKETED,270,16,4320,20',270
7,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"2"" SDR21 PVC PIPE  IPS ",GASKETED,185,16,2960,20',185
7,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"2 1/2"" SDR21 PVC PIPE  IPS ",GASKETED,73,28,2044,20',73
7,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"3"" SDR21 PVC PIPE  IPS ",GASKETED,75,16,1200,20',75
7,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"4"" SDR21 PVC PIPE  IPS ",GASKETED,76,12,912,20',76
7,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"6"" SDR21 PVC PIPE  IPS ",GASKETED, 28 / 35, 4 / 8,392,20',28
7,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"8"" SDR21 PVC PIPE  IPS ",GASKETED, 25 / 30, 4 / 4,220,20',25
7,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"10"" SDR21 PVC PIPE  IPS ",GASKETED, 16 / 20, 4 / 4,144,20',16
7,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"12"" SDR21 PVC PIPE  IPS ",GASKETED, 9 / 12 / 12 / 16, 2 / 2 / 2 / 2,98,20',12
,, C900 Blue Waterline Pipe (NSF),,,,,,
4,C900 Blue Waterline Pipe (NSF),"4"" DR14 PVC PIPE C900",GASKETED,60,12,720,20',60
4,C900 Blue Waterline Pipe (NSF),"6"" DR14 PVC PIPE C900",GASKETED,28,12,336,20',28
4,C900 Blue Waterline Pipe (NSF),"8"" DR14 PVC PIPE C900",GASKETED,15,12,180,20',15
8,C900 Blue Waterline Pipe (NSF),"10"" DR14 PVC PIPE C900",GASKETED,16,8,128,20',16
8,C900 Blue Waterline Pipe (NSF),"12"" DR14 PVC PIPE C900",GASKETED,  4 / 6, 6 / 6,84,20',4
4,C900 Blue Waterline Pipe (NSF),"4"" DR18 PVC PIPE C900",GASKETED,60,12,720,20',60
4,C900 Blue Waterline Pipe (NSF),"6"" DR18 PVC PIPE C900",GASKETED,28,13,364,20',28
4,C900 Blue Waterline Pipe (NSF),"8"" DR18 PVC PIPE C900",GASKETED, 15 / 20, 8 / 4,200,20',15
8,C900 Blue Waterline Pipe (NSF),"10"" DR18 PVC PIPE C900",GASKETED,16,8,128,20',16
8,C900 Blue Waterline Pipe (NSF),"12"" DR18 PVC PIPE C900",GASKETED, 6 / 8 / 9 / 12, 4 / 4 / 2 / 2,98,20',8
8,C900 Blue Waterline Pipe (NSF),"14"" DR18 PVC PIPE C900",GASKETED,9,8,72,20',9
9,C900 Blue Waterline Pipe (NSF),"16"" DR18 PVC PIPE C900",GASKETED, 4 / 6 / 6 / 9, 2 / 2 / 2 / 2,50,20',6
9,C900 Blue Waterline Pipe (NSF),"18"" DR18 PVC PIPE C900",GASKETED, 4 / 6, 4 / 4,40,20',4
9,C900 Blue Waterline Pipe (NSF),"20"" DR18 PVC PIPE C900",GASKETED,4,8,32,20',4
9,C900 Blue Waterline Pipe (NSF),"24"" DR18 PVC PIPE C900",GASKETED,3,6,18,20',3
5,C900 Blue Waterline Pipe (NSF),"4"" DR25 PVC PIPE C900",GASKETED,60,12,720,20',60
5,C900 Blue Waterline Pipe (NSF),"6"" DR25 PVC PIPE C900",GASKETED,28,12,336,20',28
5,C900 Blue Waterline Pipe (NSF),"8"" DR25 PVC PIPE C900",GASKETED, 15 / 20, 8 / 4,200,20',15
9,C900 Blue Waterline Pipe (NSF),"10"" DR25 PVC PIPE C900",GASKETED,16,8,128,20',16
9,C900 Blue Waterline Pipe (NSF),"12"" DR25 PVC PIPE C900",GASKETED, 6 / 8 / 9 / 12, 4 / 4 / 2 / 2,98,20',8
9,C900 Blue Waterline Pipe (NSF),"14"" DR25 PVC PIPE C900",GASKETED,9,8,72,20',9
9,C900 Blue Waterline Pipe (NSF),"16"" DR25 PVC PIPE C900",GASKETED, 4 / 6 / 6 / 9, 2 / 2 / 2 / 2,50,20',6
9,C900 Blue Waterline Pipe (NSF),"18"" DR25 PVC PIPE C900",GASKETED, 4 / 6, 4 / 4,40,20',4
9,C900 Blue Waterline Pipe (NSF),"20"" DR25 PVC PIPE C900",GASKETED,4,8,32,20',4
9,C900 Blue Waterline Pipe (NSF),"24"" DR25 PVC PIPE C900",GASKETED,3,9,18,20',3
,, Green Sanitary Gravity Sewer Pipe (No NSF),,,,,,
4,Green Sanitary Gravity Sewer Pipe (No NSF),"4"" SDR26 PVC PIPE GRAVITY SEWER",GASKETED,84,18,1512,14',84
4,Green Sanitary Gravity Sewer Pipe (No NSF),"6"" SDR26 PVC PIPE GRAVITY SEWER",GASKETED,40,18,720,14',40
7,Green Sanitary Gravity Sewer Pipe (No NSF),"8"" SDR26 PVC PIPE GRAVITY SEWER",GASKETED, 30 / 36, 6 / 6,396,14',30
7,Green Sanitary Gravity Sewer Pipe (No NSF),"10"" SDR26 PVC PIPE GRAVITY SEWER",GASKETED, 12 / 15, 9 / 9,243,14',12
7,Green Sanitary Gravity Sewer Pipe (No NSF),"12"" SDR26 PVC PIPE GRAVITY SEWER",GASKETED, 12 / 16, 6 / 6,168,14',12
4,Green Sanitary Gravity Sewer Pipe (No NSF),"4"" SDR35 PVC PIPE GRAVITY SEWER",GASKETED,84,18,1512,14',84
4,Green Sanitary Gravity Sewer Pipe (No NSF),"6"" SDR35 PVC PIPE GRAVITY SEWER",GASKETED,40,19,720,14',40
6,Green Sanitary Gravity Sewer Pipe (No NSF),"8"" SDR35 PVC PIPE GRAVITY SEWER",GASKETED, 30 / 36, 6 / 6,396,14',30
9,Green Sanitary Gravity Sewer Pipe (No NSF),"10"" SDR35 PVC PIPE GRAVITY SEWER",GASKETED, 12 / 15, 9 / 9,243,14',12
9,Green Sanitary Gravity Sewer Pipe (No NSF),"12"" SDR35 PVC PIPE GRAVITY SEWER",GASKETED, 12 / 16, 6 / 6,168,14',12
