skuId,productTypeId,bundleId,productTypeActive,productType,productTypeLengthStick,skuActive,size,skuPopularityScore,bundleActive,eagleSticksPerBundle,originalBundlesPerTruckload,eagleSticksPerTruckload,Eagle-%_LOAD_Per_Lift,bundleDescription,sku
skuId_1,productTypeId_1,bundleId_26,Y,DR14 PVC PIPE C-900 - GASKET,20',Y,"12""",10.0,Y,6.0,6.0,98.0,7.1,"12"" DR14 PVC PIPE C-900 - GASKET, 6 - 6","12"" DR14 PVC PIPE C-900 - GASKET"
skuId_2,productTypeId_2,bundleId_16,Y,DR18 PVC PIPE C-900 - GASKET,20',Y,"4""",9.0,Y,60.0,12.0,720.0,8.3,"4"" DR18 PVC PIPE C-900 - GASKET, 60 - 12","4"" DR18 PVC PIPE C-900 - GASKET"
skuId_3,productTypeId_2,bundleId_21,Y,DR18 PVC PIPE C-900 - GASKET,20',Y,"10""",9.0,Y,16.0,8.0,128.0,12.5,"10"" DR18 PVC PIPE C-900 - GASKET, 16 - 8","10"" DR18 PVC PIPE C-900 - GASKET"
skuId_4,productTypeId_2,bundleId_22,Y,DR18 PVC PIPE C-900 - GASKET,20',Y,"12""",10.0,Y,6.0,4.0,98.0,6.1,"12"" DR18 PVC PIPE C-900 - GASKET, 6 - 4","12"" DR18 PVC PIPE C-900 - GASKET"
skuId_4,productTypeId_2,bundleId_23,Y,DR18 PVC PIPE C-900 - GASKET,20',Y,"12""",10.0,Y,8.0,4.0,98.0,8.2,"12"" DR18 PVC PIPE C-900 - GASKET, 8 - 4","12"" DR18 PVC PIPE C-900 - GASKET"
skuId_4,productTypeId_2,bundleId_24,Y,DR18 PVC PIPE C-900 - GASKET,20',Y,"12""",10.0,Y,9.0,2.0,98.0,9.2,"12"" DR18 PVC PIPE C-900 - GASKET, 9 - 2","12"" DR18 PVC PIPE C-900 - GASKET"
skuId_4,productTypeId_2,bundleId_25,Y,DR18 PVC PIPE C-900 - GASKET,20',Y,"12""",10.0,Y,12.0,2.0,98.0,12.2,"12"" DR18 PVC PIPE C-900 - GASKET, 12 - 2","12"" DR18 PVC PIPE C-900 - GASKET"
skuId_4,productTypeId_2,bundleId_27,Y,DR18 PVC PIPE C-900 - GASKET,20',Y,"12""",10.0,Y,8.0,6.0,98.0,9.5,"12"" DR14 PVC PIPE C-900 - GASKET, 8 - 6","12"" DR18 PVC PIPE C-900 - GASKET"
skuId_5,productTypeId_2,bundleId_17,Y,DR18 PVC PIPE C-900 - GASKET,20',Y,"6""",10.0,Y,28.0,12.0,336.0,8.3,"6"" DR18 PVC PIPE C-900 - GASKET, 28 - 12","6"" DR18 PVC PIPE C-900 - GASKET"
skuId_6,productTypeId_2,bundleId_18,Y,DR18 PVC PIPE C-900 - GASKET,20',Y,"8""",6.0,Y,15.0,8.0,200.0,7.5,"8"" DR18 PVC PIPE C-900 - GASKET, 15 - 8","8"" DR18 PVC PIPE C-900 - GASKET"
skuId_6,productTypeId_2,bundleId_19,Y,DR18 PVC PIPE C-900 - GASKET,20',Y,"8""",6.0,Y,20.0,4.0,200.0,10.0,"8"" DR18 PVC PIPE C-900 - GASKET, 20 - 4","8"" DR18 PVC PIPE C-900 - GASKET"
skuId_6,productTypeId_2,bundleId_20,Y,DR18 PVC PIPE C-900 - GASKET,20',Y,"8""",6.0,Y,15.0,12.0,200.0,8.3,"8"" DR14 PVC PIPE C-900 - GASKET, 15 - 12","8"" DR18 PVC PIPE C-900 - GASKET"
skuId_7,productTypeId_3,bundleId_50,Y,PVC PIPE 80 - BELL END,20',Y,"1 1/2""",15.0,Y,180.0,24.0,4320.0,4.2,"1 1/2"" PVC PIPE 80 - BELL END, 180 - 24","1 1/2"" PVC PIPE 80 - BELL END"
skuId_10,productTypeId_4,bundleId_7,Y,PVC PIPE SCH 40 - BELL END,20',Y,"2 1/2""",4.0,Y,73.0,24.0,1752.0,4.2,"2 1/2"" PVC PIPE SCH 40 - BELL END, 73 - 24","2 1/2"" PVC PIPE SCH 40 - BELL END"
skuId_11,productTypeId_4,bundleId_8,Y,PVC PIPE SCH 40 - BELL END,20',Y,"3""",4.0,Y,75.0,16.0,1200.0,6.3,"3"" PVC PIPE SCH 40 - BELL END, 75 - 16","3"" PVC PIPE SCH 40 - BELL END"
skuId_12,productTypeId_4,bundleId_1,Y,PVC PIPE SCH 40 - BELL END,20',Y,"1/2""",2.0,Y,360.0,36.0,12960.0,2.8,"1/2"" PVC PIPE SCH 40 - BELL END, 360 - 36","1/2"" PVC PIPE SCH 40 - BELL END"
skuId_13,productTypeId_4,bundleId_11,Y,PVC PIPE SCH 40 - BELL END,20',Y,"8""",9.0,Y,15.0,12.0,180.0,8.3,"8"" PVC PIPE SCH 40 - BELL END, 15 - 12","8"" PVC PIPE SCH 40 - BELL END"
skuId_14,productTypeId_4,bundleId_3,Y,PVC PIPE SCH 40 - BELL END,20',Y,"1""",2.0,Y,280.0,20.0,5600.0,5.0,"1"" PVC PIPE SCH 40 - BELL END, 280 - 20","1"" PVC PIPE SCH 40 - BELL END"
skuId_15,productTypeId_4,bundleId_10,Y,PVC PIPE SCH 40 - BELL END,20',Y,"6""",8.0,Y,26.0,12.0,312.0,8.3,"6"" PVC PIPE SCH 40 - BELL END, 26 - 12","6"" PVC PIPE SCH 40 - BELL END"
skuId_16,productTypeId_4,bundleId_4,Y,PVC PIPE SCH 40 - BELL END,20',Y,"1 1/4""",2.0,Y,220.0,24.0,5280.0,4.2,"1 1/4"" PVC PIPE SCH 40 - BELL END, 220 - 24","1 1/4"" PVC PIPE SCH 40 - BELL END"
skuId_17,productTypeId_4,bundleId_5,Y,PVC PIPE SCH 40 - BELL END,20',Y,"1 1/2""",2.0,Y,180.0,24.0,4320.0,4.2,"1 1/2"" PVC PIPE SCH 40 - BELL END, 180 - 24","1 1/2"" PVC PIPE SCH 40 - BELL END"
skuId_18,productTypeId_4,bundleId_13,Y,PVC PIPE SCH 40 - BELL END,20',Y,"12""",8.0,Y,6.0,6.0,84.0,7.1,"12"" PVC PIPE SCH 40 - BELL END, 6 - 6","12"" PVC PIPE SCH 40 - BELL END"
skuId_18,productTypeId_4,bundleId_14,Y,PVC PIPE SCH 40 - BELL END,20',Y,"12""",8.0,Y,8.0,6.0,84.0,9.5,"12"" PVC PIPE SCH 40 - BELL END, 8 - 6","12"" PVC PIPE SCH 40 - BELL END"
skuId_19,productTypeId_4,bundleId_12,Y,PVC PIPE SCH 40 - BELL END,20',Y,"10""",5.0,Y,12.0,12.0,144.0,8.3,"10"" PVC PIPE SCH 40 - BELL END, 12 - 12","10"" PVC PIPE SCH 40 - BELL END"
skuId_20,productTypeId_4,bundleId_9,Y,PVC PIPE SCH 40 - BELL END,20',Y,"4""",7.0,Y,57.0,12.0,684.0,8.3,"4"" PVC PIPE SCH 40 - BELL END, 57 - 12","4"" PVC PIPE SCH 40 - BELL END"
skuId_8,productTypeId_4,bundleId_6,Y,PVC PIPE SCH 40 - BELL END,20',Y,"2""",1.0,Y,105.0,24.0,2520.0,4.2,"2"" PVC PIPE SCH 40 - BELL END, 105 - 24","2"" PVC PIPE SCH 40 - BELL END"
skuId_9,productTypeId_4,bundleId_2,Y,PVC PIPE SCH 40 - BELL END,20',Y,"3/4""",7.0,Y,400.0,24.0,9600.0,4.2,"3/4"" PVC PIPE SCH 40 - BELL END, 400 - 24","3/4"" PVC PIPE SCH 40 - BELL END"
skuId_21,productTypeId_5,bundleId_52,Y,PVC PIPE SCH 80 - BELL END,20',Y,"2 1/2""",12.0,Y,73.0,24.0,1752.0,4.2,"2 1/2"" PVC PIPE SCH 80 - BELL END, 73 - 24","2 1/2"" PVC PIPE SCH 80 - BELL END"
skuId_22,productTypeId_5,bundleId_54,Y,PVC PIPE SCH 80 - BELL END,20',Y,"4""",16.0,Y,57.0,12.0,684.0,8.3,"4"" PVC PIPE SCH 80 - BELL END, 57 - 12","4"" PVC PIPE SCH 80 - BELL END"
skuId_23,productTypeId_5,bundleId_46,Y,PVC PIPE SCH 80 - BELL END,20',Y,"1/2""",14.0,Y,360.0,36.0,12960.0,2.8,"1/2"" PVC PIPE SCH 80 - BELL END, 360 - 36","1/2"" PVC PIPE SCH 80 - BELL END"
skuId_24,productTypeId_5,bundleId_48,Y,PVC PIPE SCH 80 - BELL END,20',Y,"1""",11.0,Y,280.0,20.0,5600.0,5.0,"1"" PVC PIPE SCH 80 - BELL END, 280 - 20","1"" PVC PIPE SCH 80 - BELL END"
skuId_25,productTypeId_5,bundleId_57,Y,PVC PIPE SCH 80 - BELL END,20',Y,"10""",8.0,Y,12.0,12.0,144.0,8.3,"10"" PVC PIPE SCH 80 - BELL END, 12 - 12","10"" PVC PIPE SCH 80 - BELL END"
skuId_26,productTypeId_5,bundleId_51,Y,PVC PIPE SCH 80 - BELL END,20',Y,"2""",16.0,Y,105.0,24.0,2520.0,4.2,"2"" PVC PIPE SCH 80 - BELL END, 105 - 24","2"" PVC PIPE SCH 80 - BELL END"
skuId_27,productTypeId_5,bundleId_56,Y,PVC PIPE SCH 80 - BELL END,20',Y,"8""",5.0,Y,15.0,12.0,180.0,8.3,"8"" PVC PIPE SCH 80 - BELL END, 15 - 12","8"" PVC PIPE SCH 80 - BELL END"
skuId_28,productTypeId_5,bundleId_53,Y,PVC PIPE SCH 80 - BELL END,20',Y,"3""",15.0,Y,75.0,16.0,1200.0,6.3,"3"" PVC PIPE SCH 80 - BELL END, 75 - 16","3"" PVC PIPE SCH 80 - BELL END"
skuId_29,productTypeId_5,bundleId_49,Y,PVC PIPE SCH 80 - BELL END,20',Y,"1 1/4""",14.0,Y,220.0,24.0,5280.0,4.2,"1 1/4"" PVC PIPE SCH 80 - BELL END, 220 - 24","1 1/4"" PVC PIPE SCH 80 - BELL END"
skuId_30,productTypeId_5,bundleId_58,Y,PVC PIPE SCH 80 - BELL END,20',Y,"12""",9.0,Y,6.0,6.0,84.0,7.1,"12"" PVC PIPE SCH 80 - BELL END, 6 - 6","12"" PVC PIPE SCH 80 - BELL END"
skuId_30,productTypeId_5,bundleId_59,Y,PVC PIPE SCH 80 - BELL END,20',Y,"12""",9.0,Y,8.0,6.0,84.0,9.5,"12"" PVC PIPE SCH 80 - BELL END, 8 - 6","12"" PVC PIPE SCH 80 - BELL END"
skuId_31,productTypeId_5,bundleId_47,Y,PVC PIPE SCH 80 - BELL END,20',Y,"3/4""",15.0,Y,400.0,24.0,9600.0,4.2,"3/4"" PVC PIPE SCH 80 - BELL END, 400 - 24","3/4"" PVC PIPE SCH 80 - BELL END"
skuId_32,productTypeId_5,bundleId_55,Y,PVC PIPE SCH 80 - BELL END,20',Y,"6""",17.0,Y,26.0,12.0,312.0,8.3,"6"" PVC PIPE SCH 80 - BELL END, 26 - 12","6"" PVC PIPE SCH 80 - BELL END"
skuId_33,productTypeId_6,bundleId_61,Y,SDR13.5 BE - BELL END,20',Y,"1/2""",10.0,Y,360.0,36.0,12960.0,2.8,"1/2"" SDR13.5 BE - BELL END, 360 - 36","1/2"" SDR13.5 BE - BELL END"
skuId_34,productTypeId_7,bundleId_66,Y,SDR21 BE - BELL END,20',Y,"2""",7.0,Y,105.0,24.0,2520.0,4.2,"2"" SDR21 BE - BELL END, 105 - 24","2"" SDR21 BE - BELL END"
skuId_35,productTypeId_7,bundleId_64,Y,SDR21 BE - BELL END,20',Y,"1 1/4""",10.0,Y,220.0,24.0,5280.0,4.2,"1 1/4"" SDR21 BE - BELL END, 220 - 24","1 1/4"" SDR21 BE - BELL END"
skuId_36,productTypeId_7,bundleId_65,Y,SDR21 BE - BELL END,20',Y,"1 1/2""",11.0,Y,180.0,24.0,4320.0,4.2,"1 1/2"" SDR21 BE - BELL END, 180 - 24","1 1/2"" SDR21 BE - BELL END"
skuId_37,productTypeId_7,bundleId_71,Y,SDR21 BE - BELL END,20',Y,"8""",11.0,Y,15.0,12.0,180.0,8.3,"8"" SDR21 BE - BELL END, 15 - 12","8"" SDR21 BE - BELL END"
skuId_38,productTypeId_7,bundleId_69,Y,SDR21 BE - BELL END,20',Y,"4""",12.0,Y,57.0,12.0,684.0,8.3,"4"" SDR21 BE - BELL END, 57 - 12","4"" SDR21 BE - BELL END"
skuId_39,productTypeId_7,bundleId_62,Y,SDR21 BE - BELL END,20',Y,"3/4""",6.0,Y,400.0,24.0,9600.0,4.2,"3/4"" SDR21 BE - BELL END, 400 - 24","3/4"" SDR21 BE - BELL END"
skuId_40,productTypeId_7,bundleId_70,Y,SDR21 BE - BELL END,20',Y,"6""",8.0,Y,26.0,12.0,312.0,8.3,"6"" SDR21 BE - BELL END, 26 - 12","6"" SDR21 BE - BELL END"
skuId_41,productTypeId_7,bundleId_63,Y,SDR21 BE - BELL END,20',Y,"1""",9.0,Y,280.0,20.0,5600.0,5.0,"1"" SDR21 BE - BELL END, 280 - 20","1"" SDR21 BE - BELL END"
skuId_42,productTypeId_7,bundleId_67,Y,SDR21 BE - BELL END,20',Y,"2 1/2""",10.0,Y,73.0,24.0,1752.0,4.2,"2 1/2"" SDR21 BE - BELL END, 73 - 24","2 1/2"" SDR21 BE - BELL END"
skuId_43,productTypeId_7,bundleId_68,Y,SDR21 BE - BELL END,20',Y,"3""",11.0,Y,75.0,16.0,1200.0,6.3,"3"" SDR21 BE - BELL END, 75 - 16","3"" SDR21 BE - BELL END"
skuId_44,productTypeId_8,bundleId_43,Y,SDR26 PVC PIPE GRAVITY SEWER - GASKET,14',Y,"12""",13.0,Y,12.0,6.0,168.0,7.1,"12"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 12 - 6","12"" SDR26 PVC PIPE GRAVITY SEWER - GASKET"
skuId_44,productTypeId_8,bundleId_44,Y,SDR26 PVC PIPE GRAVITY SEWER - GASKET,14',Y,"12""",13.0,Y,16.0,6.0,168.0,9.5,"12"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 16 - 6","12"" SDR26 PVC PIPE GRAVITY SEWER - GASKET"
skuId_45,productTypeId_8,bundleId_39,Y,SDR26 PVC PIPE GRAVITY SEWER - GASKET,14',Y,"8""",14.0,Y,30.0,6.0,396.0,7.5,"8"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 30 - 6","8"" SDR26 PVC PIPE GRAVITY SEWER - GASKET"
skuId_45,productTypeId_8,bundleId_40,Y,SDR26 PVC PIPE GRAVITY SEWER - GASKET,14',Y,"8""",14.0,Y,36.0,6.0,396.0,9.1,"8"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 36 - 6","8"" SDR26 PVC PIPE GRAVITY SEWER - GASKET"
skuId_46,productTypeId_8,bundleId_38,Y,SDR26 PVC PIPE GRAVITY SEWER - GASKET,14',Y,"6""",13.0,Y,40.0,18.0,720.0,5.6,"6"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 40 - 18","6"" SDR26 PVC PIPE GRAVITY SEWER - GASKET"
skuId_47,productTypeId_8,bundleId_41,Y,SDR26 PVC PIPE GRAVITY SEWER - GASKET,14',Y,"10""",10.0,Y,12.0,9.0,243.0,5.9,"10"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 12 - 9","10"" SDR26 PVC PIPE GRAVITY SEWER - GASKET"
skuId_47,productTypeId_8,bundleId_42,Y,SDR26 PVC PIPE GRAVITY SEWER - GASKET,14',Y,"10""",10.0,Y,15.0,9.0,243.0,6.2,"10"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 15 - 9","10"" SDR26 PVC PIPE GRAVITY SEWER - GASKET"
skuId_48,productTypeId_8,bundleId_37,Y,SDR26 PVC PIPE GRAVITY SEWER - GASKET,14',Y,"4""",12.0,Y,84.0,18.0,1512.0,8.3,"4"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 84 - 18","4"" SDR26 PVC PIPE GRAVITY SEWER - GASKET"
skuId_49,productTypeId_9,bundleId_31,Y,SDR35 PVC PIPE GRAVITY SEWER - GASKET,14',Y,"8""",12.0,Y,30.0,6.0,396.0,7.5,"8"" SDR35 PVC PIPE GRAVITY SEWER - GASKET, 30 - 6","8"" SDR35 PVC PIPE GRAVITY SEWER - GASKET"
skuId_49,productTypeId_9,bundleId_32,Y,SDR35 PVC PIPE GRAVITY SEWER - GASKET,14',Y,"8""",12.0,Y,36.0,6.0,396.0,9.1,"8"" SDR35 PVC PIPE GRAVITY SEWER - GASKET, 36 - 6","8"" SDR35 PVC PIPE GRAVITY SEWER - GASKET"
skuId_50,productTypeId_9,bundleId_30,Y,SDR35 PVC PIPE GRAVITY SEWER - GASKET,14',Y,"6""",11.0,Y,40.0,18.0,720.0,5.6,"6"" SDR35 PVC PIPE GRAVITY SEWER - GASKET, 40 - 18","6"" SDR35 PVC PIPE GRAVITY SEWER - GASKET"
skuId_51,productTypeId_9,bundleId_35,Y,SDR35 PVC PIPE GRAVITY SEWER - GASKET,14',Y,"12""",9.0,Y,12.0,6.0,168.0,7.1,"12"" SDR35 PVC PIPE GRAVITY SEWER - GASKET, 12 - 6","12"" SDR35 PVC PIPE GRAVITY SEWER - GASKET"
skuId_51,productTypeId_9,bundleId_36,Y,SDR35 PVC PIPE GRAVITY SEWER - GASKET,14',Y,"12""",9.0,Y,16.0,6.0,168.0,9.5,"12"" SDR35 PVC PIPE GRAVITY SEWER - GASKET, 16 - 6","12"" SDR35 PVC PIPE GRAVITY SEWER - GASKET"
skuId_52,productTypeId_9,bundleId_33,Y,SDR35 PVC PIPE GRAVITY SEWER - GASKET,14',Y,"10""",13.0,Y,12.0,9.0,243.0,4.9,"10"" SDR35 PVC PIPE GRAVITY SEWER - GASKET, 12 - 9","10"" SDR35 PVC PIPE GRAVITY SEWER - GASKET"
skuId_52,productTypeId_9,bundleId_34,Y,SDR35 PVC PIPE GRAVITY SEWER - GASKET,14',Y,"10""",13.0,Y,15.0,9.0,243.0,6.2,"10"" SDR35 PVC PIPE GRAVITY SEWER - GASKET, 15 - 9","10"" SDR35 PVC PIPE GRAVITY SEWER - GASKET"
skuId_53,productTypeId_9,bundleId_29,Y,SDR35 PVC PIPE GRAVITY SEWER - GASKET,14',Y,"4""",8.0,Y,84.0,18.0,1512.0,5.6,"4"" SDR35 PVC PIPE GRAVITY SEWER - GASKET, 84 - 18","4"" SDR35 PVC PIPE GRAVITY SEWER - GASKET"
